name,class,platform,B/S,price,closed,profit,trade_date,record_date,remark,year
焊锡+热缩管,music,TB,B,-55.8,,,2022-10-02,2023-07-09,,2022
大乌插针,music,TB,B,-106.0,,,2022-10-02,2023-07-09,,2022
焊接固定器,music,TB,B,-78.97,,,2022-10-03,2023-07-09,,2022
电烙铁,music,JD,B,-118.9,,,2022-10-03,2023-07-09,,2022
充值,dota2,others,B,-208.0,,,2022-10-13,2023-07-09,,2022
mdr_z1r,music,XY,S,7200.0,,,2022-10-16,2023-07-09,,2022
天朗gold5,music,XY,S,2399.0,,,2022-10-17,2023-07-09,,2022
大耳保护盒,music,XY,S,115.0,,,2022-11-08,2023-07-09,,2022
800s插针转接头,music,XY,S,150.0,,,2022-11-19,2023-07-09,,2022
R5_3600,PC,XY,S,500.0,,,2022-11-22,2023-07-09,,2022
铭瑄RTX3080Ti,PC,JD,B,-5989.0,,,2022-12-11,2023-07-09,,2022
振华1000w电源,PC,JD,B,-1009.0,,,2022-12-11,2023-07-09,,2022
ps碟,PS,others,S,825.0,,,2022-12-12,2023-07-09,地平线2+FF7re,2022
hd800s,music,XY,S,5700.0,,,2022-12-20,2023-07-09,,2022
铠侠RC20-1TB,PC,PDD,B,-368.93,,,2023-01-01,2023-07-09,,2023
利民PS120SE,PC,PDD,B,-153.0,,,2023-01-01,2023-07-09,,2023
科赋DDR4-3200-8GB*2,PC,TB,B,-369.0,,,2023-01-01,2023-07-09,,2023
b550m迫击炮max-wifi,PC,JD,B,-999.0,,,2023-01-04,2023-07-09,,2023
锋之星升级线,music,XY,S,750.0,,,2023-01-07,2023-07-09,,2023
拓品dx3pro+,music,XY,S,799.0,,,2023-01-08,2023-07-09,(749+50)购买时返现50漏统计,2023
b450m迫击炮,PC,XY,S,410.0,,,2023-01-08,2023-07-09,,2023
铭瑄电竞之心1660s,PC,XY,S,600.0,,,2023-01-10,2023-07-09,返现30,2023
OPPO五折券,others,others,S,1000.0,,,2023-01-16,2023-07-09,微信ToAnyou,2023
联立216机箱,PC,JD,B,-596.0,,,2023-01-28,2023-07-09,,2023
猫头鹰风扇,PC,JD,B,-170.0,,,2023-01-29,2023-07-09,,2023
先马金牌500W,PC,XY,S,120.0,,,2023-02-09,2023-07-09,,2023
九州风神冰魔方,PC,PDD,B,-540.0,,,2023-02-12,2023-07-09,,2023
TP-LINK无线网卡TL-WDN8280,PC,XY,S,170.0,,,2023-02-19,2023-07-09,,2023
西数蓝盘1TB,PC,XY,S,110.0,,,2023-03-04,2023-07-09,,2023
利民PS120SE,PC,XY,S,145.0,,,2023-03-07,2023-07-09,,2023
西数蓝盘1TB,PC,XY,S,110.0,,,2023-03-22,2023-07-09,,2023
dela_n1a,music,XY,S,6800.0,,,2023-03-25,2023-07-09,,2023
AMD_R5_5600x,PC,XY,S,820.0,,,2023-04-07,2023-07-09,,2023
铠侠RC20-2TB,PC,TB,B,-577.69,,,2023-05-30,2023-07-09,,2023
离开深圳,others,others,B,-15000.0,,,2023-05-31,2023-07-09,拖延症晚期,2023
索泰AMP4090,PC,TB,B,-12989.0,,,2023-06-03,2023-07-09,,2023
铭瑄RTX3080Ti,PC,others,S,4200.0,,,2023-06-06,2023-07-09,微信toShiZhe,2023
rog-x570e-wifi-1代,PC,XY,B,-950.0,,,2023-06-06,2023-07-09,,2023
宏碁掠夺者-3600C16-16G*2,PC,JD,B,-778.35,,,2023-06-13,2023-07-09,,2023
rog-x570e-wifi-2代+5600x,PC,XY,B,-1800.0,,,2023-06-18,2023-07-09,赠送水冷+三星SSD-250GB,2023
科赋DDR4-3200-8GB*2,PC,XY,S,180.0,,,2023-06-29,2023-07-09,,2023
b550m迫击炮max-wifi,PC,XY,S,730.0,,,2023-06-30,2023-07-09,,2023
希捷移动硬盘-1TB,PC,XY,S,129.0,,,2023-06-30,2023-07-09,,2023
九州风神冰堡垒,PC,XY,S,170.0,,,2023-06-30,2023-07-09,,2023
AMD_R5_5600x,PC,XY,S,799.0,,,2023-07-07,2023-07-09,,2023
三星SSD_860EVO_250G,PC,XY,S,90.0,,,2023-07-07,2023-07-09,,2023
rog-x570e-wifi-1代,PC,XY,S,950.0,,,2023-07-07,2023-07-13,,2023
充值,dota2,others,B,-208.0,,,2023-07-09,2023-07-09,,2023
雷咖泽R98pro,PC,TB,B,-424.0,,,2023-08-11,2023-08-19,,2023
科赋DDR4-3200-8GB*2,PC,XY,S,179.0,,,2023-08-15,2023-08-19,,2023
地平线4,others,others,B,-116.55,,,2023-08-19,2023-08-19,,2023
希捷8TB_ST8000NM017,PC,PDD,B,-797.8,,,2023-09-03,2023-09-20,,2023
威联通464c,PC,JD,B,-2259.0,,,2023-09-04,2023-09-20,,2023
海康4TB_ST4000VX015,PC,PDD,B,-429.8,,,2023-09-07,2023-09-20,,2023
ps碟,PS,others,B,-585.0,,,2023-09-23,2023-11-20,只狼+霍格沃兹,2023
东芝2TB移动硬盘,PC,XY,S,269.0,,,2023-09-25,2023-11-19,,2023
TPLink路由器WDR7650,PC,XY,S,85.0,,,2023-09-26,2023-11-19,,2023
海康威视硬盘盒,PC,XY,S,78.0,,,2023-09-27,2023-11-19,,2023
卖dota2饰品,dota2,others,S,990.0,,,2023-11-19,2023-11-19,支付宝495_银行卡495,2023
西数2TB移动硬盘,PC,XY,S,249.0,,,2023-11-19,2023-11-19,,2023
卖dota2饰品,dota2,others,S,265.46,,,2023-11-26,2023-12-06,支付宝193.72.21,2023
ps手柄,PS,TB,B,-399.0,,,2023-12-03,2023-12-31,,2023
回收手机,others,JD,S,730.0,,,2023-12-10,2023-12-10,,2023
ps碟,PS,others,S,505.0,,,2023-12-29,2023-12-31,只狼+霍格沃兹,2023
